time,open,high,low,upstop,downstop,volume,money,close
2016/6/29,7.7102,7.7194,7.6367,8.4628,6.9208,222262986.7,26583963,7.6643
2016/6/30,7.6735,7.7102,7.6184,8.4353,6.9024,185305567.4,22211838,7.6367
2016/7/1,7.6918,7.7102,7.6184,8.3986,6.8749,167910383.9,20134626,7.6459
2016/7/4,7.6184,7.7836,7.6,8.4078,6.8841,306002274,36329561,7.7561
2016/7/5,7.7836,7.7836,7.6826,8.5363,6.9759,268267304.9,31919761,7.7194
2016/7/6,7.7194,8.2517,7.6918,8.4904,6.9483,653334117.4,75566861,8.2517
2016/7/7,8.1508,8.3343,8.0957,9.0778,7.4256,514244896,57547441,8.1783
2016/7/8,8.1875,8.1875,8.0039,8.9952,7.3614,323533440.2,36765568,8.0406
2016/7/11,8.0773,8.2517,8.0131,8.8483,7.2329,301643741.6,34109952,8.0773
2016/7/12,8.1049,8.2517,7.9396,8.8851,7.2696,361335744.4,40940213,8.1875
2016/7/13,8.1967,8.2517,8.1416,9.0044,7.3706,310915346.4,34857669,8.1875
2016/7/14,8.1599,8.1967,8.0773,9.0044,7.3706,209652741.8,23683239,8.1049
2016/7/15,8.114,8.2242,8.1049,8.9126,7.2971,203612863.3,22922422,8.1232
2016/7/18,8.1232,8.2425,8.0957,8.9401,7.3155,223297705.8,25120135,8.114
2016/7/19,8.114,8.1508,7.9855,8.9218,7.3063,226874238.7,25906234,8.059
2016/7/20,8.0865,8.1049,8.0131,8.8667,7.2512,126958672.5,14448930,8.059
2016/7/21,8.0498,8.114,8.0223,8.8667,7.2512,162779528.7,18550603,8.0406
2016/7/22,8.0406,8.059,7.8938,8.8483,7.2329,224482194.8,25919769,7.9029
2016/7/25,7.8938,7.9396,7.7561,8.6923,7.1136,241764763.7,28261590,7.8295
2016/7/26,7.8479,7.958,7.8111,8.6097,7.0493,167647115.9,19514035,7.958
2016/7/27,7.9396,7.9672,7.5633,8.7566,7.1594,374144675.9,44421616,7.6092
2016/7/28,7.6184,7.7561,7.5817,8.371,6.8474,199210025.3,23808813,7.7377
2016/7/29,7.7377,7.7377,7.6551,8.5087,6.9667,148785075.7,17731067,7.7102
2016/8/1,7.6735,7.701,7.4807,8.4812,6.9392,218936867.5,26574588,7.545
2016/8/2,7.5266,7.6276,7.5266,8.2976,6.7923,146171747.8,17713661,7.6
2016/8/3,7.5909,7.6367,7.545,8.3619,6.8382,137904375.8,16690848,7.6184
2016/8/4,7.6092,7.6367,7.5633,8.3802,6.8565,105069011.3,12681345,7.6276
2016/8/5,7.6276,7.7285,7.6,8.3894,6.8657,130313872.5,15582596,7.6551
2016/8/8,7.6643,7.7377,7.6184,8.4169,6.8933,118132025.8,14098591,7.7285
2016/8/9,7.7469,7.7744,7.701,8.4995,6.9575,138099492.8,16374245,7.7377
2016/8/10,7.7285,7.7561,7.6276,8.5087,6.9667,196819928.6,23509515,7.6367
2016/8/11,7.6367,7.701,7.5725,8.3986,6.8749,153772354.6,18498378,7.5909
2016/8/12,7.5817,7.701,7.5633,8.3527,6.829,149528872.6,18001916,7.701
2016/8/15,7.7285,8.0131,7.7102,8.472,6.93,368715453.4,42959151,7.9121
2016/8/16,7.9488,8.0039,7.8387,8.7015,7.1227,296934635.7,34468981,7.8754
2016/8/17,7.9305,7.9488,7.8203,8.6648,7.086,239966834.2,27989438,7.8754
2016/8/18,7.8479,7.8846,7.802,8.6648,7.086,197691467,23141048,7.8295
2016/8/19,7.8295,7.857,7.7836,8.6097,7.0493,131563461.3,15440043,7.8479
2016/8/22,7.8387,7.8479,7.6826,8.6372,7.0677,219343931.6,25993129,7.7102
2016/8/23,7.6918,7.8295,7.6826,8.4812,6.9392,215043944.6,25393825,7.7836
2016/8/24,7.7928,7.8295,7.7469,8.5638,7.0034,111206555.4,13096553,7.7561
2016/8/25,7.7469,7.7561,7.6735,8.5363,6.9759,158474409.2,18879749,7.7102
2016/8/26,7.7194,7.7744,7.7102,8.4812,6.9392,127376466.4,15100343,7.7469
2016/8/29,7.7836,7.9488,7.7377,8.5179,6.9759,264675723.7,30948606,7.8846
2016/8/30,7.9029,7.9396,7.8111,8.6739,7.0952,187516247.9,21916326,7.8295
2016/8/31,7.802,7.8111,7.6643,8.6097,7.0493,318511035,37938803,7.6918
2016/9/1,7.7194,7.7469,7.6551,8.4628,6.9208,165272288.8,19711545,7.6643
2016/9/2,7.6643,7.6918,7.6276,8.4353,6.9024,135690936.9,16252319,7.6643
2016/9/5,7.6643,7.7102,7.6551,8.4353,6.9024,130996844.6,15648544,7.6643
2016/9/6,7.6826,7.7561,7.6276,8.4353,6.9024,154693677,18448324,7.7377
2016/9/7,7.7469,7.7561,7.701,8.5087,6.9667,190819425.2,22670553,7.7285
2016/9/8,7.7285,7.7469,7.6918,8.4995,6.9575,148805701.3,17701986,7.7102
2016/9/9,7.7194,7.7285,7.6367,8.4812,6.9392,171306397.5,20491000,7.6367
2016/9/12,7.5266,7.5541,7.3889,8.3986,6.8749,299517849.7,36801892,7.4256
2016/9/13,7.4715,7.4715,7.3889,8.1691,6.6822,128324937.1,15861190,7.4256
2016/9/14,7.4073,7.444,7.3706,8.1691,6.6822,133916896.3,16626260,7.3889
2016/9/19,7.4073,7.444,7.3981,8.1324,6.6546,98563014.16,12188577,7.4256
2016/9/20,7.444,7.4899,7.4165,8.1691,6.6822,98436710.51,12132809,7.4899
2016/9/21,7.4715,7.5082,7.4623,8.2425,6.7372,87323903.33,10710229,7.4715
2016/9/22,7.4899,7.5725,7.4899,8.215,6.728,108307072.3,13204302,7.5174
2016/9/23,7.5266,7.5633,7.444,8.2701,6.7648,75949738.1,9317866,7.4623
2016/9/26,7.4532,7.4623,7.3247,8.2058,6.7189,116698260.2,14496634,7.3338
2016/9/27,7.3338,7.3706,7.288,8.0681,6.5995,95317683.86,11938991,7.3338
2016/9/28,7.3614,7.3614,7.3155,8.0681,6.5995,50873011.29,6366170,7.3338
2016/9/29,7.3338,7.4165,7.3338,8.0681,6.5995,80794386.03,10046567,7.3614
2016/9/30,7.3706,7.4165,7.3706,8.0957,6.6271,80682940.74,10018526,7.3981
2016/10/10,7.4073,7.4991,7.4073,8.1416,6.6546,142688523.5,17550078,7.4899
2016/10/11,7.4899,7.5082,7.4715,8.2425,6.7372,119706278.2,14682926,7.4899
2016/10/12,7.4807,7.4807,7.4256,8.2425,6.7372,100392938,12360403,7.4623
2016/10/13,7.4623,7.4807,7.4348,8.2058,6.7189,84400831.94,10393874,7.4623
2016/10/14,7.4532,7.4532,7.3797,8.2058,6.7189,119162224.2,14774859,7.4165
2016/10/17,7.4256,7.4623,7.3706,8.1599,6.673,116162356.1,14364285,7.3797
2016/10/18,7.3706,7.4623,7.3706,8.114,6.6454,132479805.4,16395681,7.4532
2016/10/19,7.4532,7.4715,7.4256,8.1967,6.7097,92401595.96,11389610,7.4532
2016/10/20,7.4623,7.4807,7.4348,8.1967,6.7097,115202929.9,14169226,7.4532
2016/10/21,7.4532,7.4899,7.4073,8.1967,6.7097,133037951.6,16405496,7.4532
2016/10/24,7.4623,7.5174,7.4073,8.1967,6.7097,195603296.5,23988689,7.4991
2016/10/25,7.4807,7.5358,7.4715,8.2517,6.7464,129074756.3,15788169,7.5174
2016/10/26,7.4807,7.5266,7.4532,8.2701,6.7648,176335481.7,21616885,7.4807
2016/10/27,7.4623,7.5541,7.4532,8.2334,6.7372,156642679.2,19146644,7.5174
2016/10/28,7.4991,7.5174,7.444,8.2701,6.7648,132194059,16227526,7.4532
2016/10/31,7.4715,7.4807,7.4165,8.1967,6.7097,101963308.3,12570422,7.4532
2016/11/1,7.4532,7.4991,7.4348,8.1967,6.7097,102198834.2,12544336,7.4899
2016/11/2,7.4991,7.4991,7.444,8.2425,6.7372,97966007.54,12041757,7.4715
2016/11/3,7.4623,7.5266,7.4348,8.215,6.728,150135081,18405215,7.4991
2016/11/4,7.4899,7.5082,7.4532,8.2517,6.7464,110311525.3,13539599,7.4623
2016/11/7,7.4623,7.4715,7.4165,8.2058,6.7189,129026670.2,15915333,7.4256
2016/11/8,7.4807,7.4899,7.4256,8.1691,6.6822,143211896.5,17622775,7.4532
2016/11/9,7.4623,7.4715,7.3522,8.1967,6.7097,164484324.9,20363350,7.3889
2016/11/10,7.4348,7.4991,7.4073,8.1324,6.6546,196304420.3,24169692,7.4899
2016/11/11,7.4807,7.5174,7.4532,8.2425,6.7372,210551861.1,25804411,7.5082
2016/11/14,7.4991,7.545,7.4807,8.2609,6.7556,231041302.1,28204892,7.545
2016/11/15,7.545,7.6184,7.5174,8.2976,6.7923,214040971.5,25952749,7.5633
2016/11/16,7.5725,7.6,7.545,8.316,6.8107,150379130,18214848,7.5541
2016/11/25,7.802,7.8662,7.6276,8.3068,6.8015,647848638.3,76775444,7.7469
2016/11/28,7.7652,7.802,7.6735,8.5179,6.9759,346803163.2,41254647,7.7194
2016/11/29,7.7102,8.3527,7.6643,8.4904,6.9483,969257739,110929648,7.9672
2016/11/30,7.9029,7.9396,7.7836,8.7657,7.1686,427831848.6,50068260,7.8295
2016/12/1,7.8479,7.9305,7.8111,8.6097,7.0493,318730545.9,37228669,7.8754
2016/12/2,7.9029,7.9029,7.6918,8.6648,7.086,337999759.2,40002258,7.7102
2016/12/5,7.6643,7.7836,7.6367,8.4812,6.9392,196806626.9,23441739,7.6826
2016/12/6,7.6826,7.7285,7.6276,8.4537,6.9116,146090572.7,17474503,7.6367
2016/12/7,7.6367,7.6918,7.6367,8.3986,6.8749,139205957.7,16673774,7.6735
2016/12/8,7.6918,7.7377,7.6367,8.4445,6.9024,164396500,19648110,7.6459
